RAJ2000,DEJ2000,Vmag
1.7677930939085396,-0.29175117701809655,-1.46
1.6753051879632737,-0.9197157937488453,-0.72
3.7335283416088867,0.3347977837638123,-0.04
3.8379717529303137,-1.0617758985875616,-0.01
4.8735628646011495,0.6769017097019452,0.03
1.3818208020352103,0.802817518959714,0.08
1.3724323851005242,-0.14314608748440158,0.12
2.0040815858077052,0.09119345341670373,0.38
0.42636211964656473,-0.998968286199821,0.46
1.5497287482822815,0.12927556806785778,0.50
3.681873867955071,-1.0537085989338988,0.61
5.195772461134952,0.15478161583103048,0.77
1.2039281180256884,0.2881393150938305,0.85
4.3171009936288405,-0.461324458259779,0.96
3.513318695443718,-0.19480298520662265,0.98
2.0303197022293533,0.4891479154186552,1.14
6.011139382230186,-0.5170053095352092,1.16
3.349810433352716,-1.0417627898313597,1.25
5.416767505463517,0.7902899334398434,1.25
3.2576497766421992,-1.1012882135979887,1.33
3.837986297340747,-1.0617807467243727,1.33
2.6545221647946917,0.2088674300956103,1.35
1.8265961452903154,-0.505660669397246,1.50
3.2775756189358014,-0.9968157134556949,1.63
4.597233610779147,-0.6475850264052516,1.63
1.4186545214575073,0.11082355936482882,1.64
1.4237159762882912,0.49929506576427785,1.65
2.4137903555081577,-1.2167950731223356,1.68
1.467007413942967,-0.020977887981609624,1.70
3.257693409873499,-1.1012930617347998,1.73
5.795511225351503,-0.8196260092837816,1.74
3.3773357300977107,0.9766814012792158,1.77
2.1359921162323934,-0.8261806902523825,1.78
0.8915287263291368,0.8702405575916171,1.79
2.8960611888602736,1.0777553575169319,1.79
1.8692112678598434,-0.4606505672430367,1.84
4.817857772641664,-0.6001266151614392,1.85
2.1926280504596094,-1.0386405897250144,1.86
3.6108244229884687,0.8606800318001371,1.86
4.613428811796611,-0.7504527932630729,1.87
1.5687382927185864,0.7844818655401512,1.90
4.40113132490715,-1.2047619975571968,1.92
1.7353445142318786,0.28621945291663675,1.93
5.347899722061908,-0.9902125511189829,1.94
2.2894501907139944,-0.9548405449452312,1.96
1.6698437618455746,-0.3133884116060151,1.98
1.9835666948915551,0.5565564096401251,1.98
2.47656403093822,-0.15112127253865348,1.98
0.5548983468507304,0.40949787574916957,2.00
4.186623087631831,0.45239419025374134,2.00
0.6624033565683645,1.557953612382305,2.02
4.953528033163357,-0.45896341563277554,2.02
0.19019725523608205,-0.3139265547920468,2.04
1.4868387175687525,-0.03390786885680094,2.05
0.036601008855364416,0.5077259756787726,2.06
0.30426179405912807,0.6216959758340024,2.06
1.5173747072734365,-0.16876849053104057,2.06
3.69435297210683,-0.6347762489503376,2.06
3.886433728494023,1.2942586030900174,2.08
4.603022286131594,0.2192133540504878,2.08
5.945762257332566,-0.8182927716607303,2.10
0.8210392411642158,0.7148092914278998,2.12
3.0938578985477476,0.2543284089732515,2.14
3.3227432855363714,-0.8545083536396127,2.17
5.332977156957356,0.702611379211184,2.20
2.3910865308217977,-0.7580401273724371,2.21
0.17675094779050904,0.986760677709483,2.23
1.4486523679761598,-0.005221443345549702,2.23
4.078347224161233,0.46625986153347404,2.23
4.697582770563604,0.8986506393046358,2.23
2.1100376158141945,-0.6981898784394649,2.25
2.430763682483802,-1.0345487622564498,2.25
0.5406157358052435,0.7387930242323886,2.26
0.04004803412805321,1.0323574044178347,2.27
3.507784547273853,0.9586269397946965,2.27
4.407669037396912,-0.5985315781505887,2.29
3.577430456633644,-0.9331645252628239,2.30
3.848145568028397,-0.8270824436992462,2.30
3.8201184891234554,-0.7357920275463206,2.31
4.190244645829719,-0.3948225656219839,2.32
2.8878290525550345,0.9840602655057029,2.37
0.11468267626646073,-0.7383809326034454,2.39
5.6905878484857775,0.17235126363444003,2.39
4.635979920173421,-0.6812020070533868,2.41
6.037857464196133,0.4901369353281187,2.42
4.495873614469576,-0.2744481767392972,2.43
3.11467094987778,0.9371496937215441,2.44
5.578857687537274,1.0923240086342734,2.44
1.9377299854110543,-0.5114348003392606,2.45
5.437624190024849,0.592893195039285,2.46
0.24743678249627937,1.0597057441692237,2.47
6.042162609684386,0.2653821609025489,2.49
2.4526821090067648,-0.9601201659325139,2.50
0.7953465401338159,0.07137911826975699,2.53
3.6457310080283545,-0.8253371144472519,2.55
2.941352482949527,0.3582045882877806,2.56
4.350924020091447,-0.18443282056768967,2.56
1.451808505040183,-0.3110564577998783,2.58
3.210562247864435,-0.3061646877574831,2.59
3.1780627627512574,-0.8852746298428239,2.60
4.985583913758319,-0.5215092286327168,2.60
2.7051367131025277,0.3463024124165415,2.61
4.001196399017867,-0.16376521334199018,2.61
1.569581868523717,0.64948064789839,2.62
4.2125121382030795,-0.3456721546310992,2.62
0.5002113636215747,0.3631690803823423,2.64
1.4819954288944683,-0.5947063982066346,2.64
3.291632791619572,-0.4083488673249399,2.65
4.120147859746496,0.11214710071425786,2.65
0.37444584660495006,1.0513039230755956,2.68
3.642000366752217,0.32110179727246785,2.68
3.920584004191378,-0.7528283803005097,2.68
1.2958778807849232,0.5788578389711637,2.69
2.8220665007809314,-0.8625417163355976,2.69
3.303835551973099,-1.206643074639902,2.69
4.5848199564743375,-0.6509350889417185,2.69
1.907397617452436,-0.6474735192585964,2.70
3.8614827923957202,0.47253335056703144,2.70
4.803996949498742,-0.5205977789122308,2.70
5.176035696176983,0.18523761127833152,2.72
4.251382075086037,-0.06448021958756829,2.74
4.293473598879967,1.0736247449538785,2.74
3.493261953456217,-0.6407491535016072,2.75
3.8871900378365543,-0.2799799008407571,2.75
2.8054276952452515,-1.1238950755481263,2.76
1.463604021901578,-0.10314895879286488,2.77
